Customer Name,Customer feedback,Feedback code,Feedback main theme,Feedback Secondary theme,Feedback type,Feedback submitted
Starbreeze,"If I have a group of translators, is there a way to check how much work they’ve done? When they were the last active?","Translators control (overview, when translators last active)","[""Permissions"",""Translation overview""]",,Feature request,2021-04-06T17:00:00Z
Starbreeze,"How does Gridly handle really big, massive texts in one cell?
",How Gridly handle massive texts in one cell,["Cell"],,Question,2021-04-06T17:00:00Z
Starbreeze,Does it have concatenate function? They use it in Google  sheets to prepare texts for LD?,Concatenate function?,["Formula support"],,Feature request,2021-04-06T17:00:00Z
Starbreeze #2,Keen on using Gridly outside of localization only,Keen on using Gridly outside of localization only,["Overall"],,Positive feedback,2021-04-20T17:00:00Z
Starbreeze #2,Can the Master branch be merged into another branch (to update the other branch)?,Master branch merged into another branch (to update the other branch)?,"[""Branch"",""Merge branch""]",,Feature request,2021-04-20T17:00:00Z
Amazon Game Studios,When you import a file how do you determine the key for the row? Which column it is?,When you import a file how do you determine the key for the row? Which column it is?,["Export/Import option"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,Can you set editing rights at import e.g. “this is meta data and can never be changed”?,Set editing rights,["Permissions"],,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,Security – Gridly is on Amazon servers. aws.gridly.com? Self hosting?,Security,["Security"],,Question/Request,2021-04-08T17:00:00Z
Amazon Game Studios,Self hosting?,Self hosting?,["Self hosting"],,Question/Request,2021-04-08T17:00:00Z
Amazon Game Studios,Do you have roles and groups?,Roles and groups,["Groups & Members"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,Other export formats?,Export formats,["Export/Import formats"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,Works in which browser?,Works in which browser?,["App/Browser"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,"Where are the files stored (dynamo DB)?
",Where are the files stored (dynamo DB)?,["Data stored"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,"Excel export downloaded locally?
",Excel export downloaded locally?,["Export"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,Integration with other share point? Gsheets?,Integration with other share point like Gsheets,["Integration/plugin"],,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,Can you lock all the strings in a particular branch?,Lock all strings in a branch,"[""Branch"",""Strings""]",,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,If I add dependencies is the metadata stored in Gridly or an exported files?,If I add dependencies is the metadata stored in Gridly or an exported files?,["Dependencies"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,Is there TM?,TM,["Translation memory"],,Question/Request,2021-04-08T17:00:00Z
Amazon Game Studios,"Is there terms support?
",Term support,["Glossary/Term"],,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,Searching for strings made easy across entire projects? (MAJOR Feature for Amazon),Searching for strings,["Search"],,Question/Request,2021-04-08T17:00:00Z
Amazon Game Studios,What’s the timeline for integration with MemoQ (sub vendor workflows)?,Timeline for integration with MemoQ (sub vendor workflows)?,"[""Integration/plugin"",""MemoQ""]",,Question,2021-04-08T17:00:00Z
Amazon Game Studios,Can they have their own Gridly amazon instance?,Can they have their own Gridly amazon instance?,["Other"],,Other,2021-04-08T17:00:00Z
Amazon Game Studios,Do we have double authentication?,Double authentication?,["Security"],,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,Do we support SSO?,SSO support,["Log in/SSO"],,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,"Two windows at once?  I want to translate a store page and achievements, want to see them at once, is it possible?
",Two windows at once,["Log in/SSO"],,Question/Request,2021-04-08T17:00:00Z
Amazon Game Studios,"15 languages - some are not released, Achievements have four source texts. Combined with the number of languages that would be very time consuming to set up a Grid for that, is it any easy way how to do it? Wizard for adding target languages discussed.",Set up Gridly for large projects,["Setup"],,Question,2021-04-08T17:00:00Z
Amazon Game Studios,"When having multiple source text, like 4 and then have 14 target languages it would be painful to add all the columns and dependencies by hand as it would be 56 target columns and 56 dependencies. We should have a think about how to deal with this scenario, some kind of batch wizard to add multiple target languages to a source column would be helpful",add multiple target languages to a source column,["Source -Target language"],,Feature request,2021-04-08T17:00:00Z
Amazon Game Studios,"They liked the fullscreen editor from the rich text column type when in need of editing large texts. Could this editor be available for localization column types as well?
",Fullscreen editor for localization columns ,["Format column"],,Feature request,2021-04-08T17:00:00Z
King,"Strong interest in cost tracking, cost management tools","Interest in cost tracking, cost management tool",["Other"],,Other,2021-04-08T17:00:00Z
King,Likes the spreadsheet view,Like Spreadsheet view,["Spreadsheet"],,Positive feedback,2021-04-08T17:00:00Z
King,He is color-blind so could not see the difference between GREEN and YELLOW status bar. Suggested using different shape on the status bar icon for the various statuses,Features for color blind users ,["Fill color"],,Feature request,2021-04-08T17:00:00Z
King,"Very interested in getting statistics out of Gridly via API (for BI reasons) or having extensive stats inside Gridly
",Getting statistics via API,["API"],,Feature request,2021-04-08T17:00:00Z
Social Point  ,"Mentioned video subtitling use case (timing, time spanning, etc.)
",Video subtitling use case ,["Subtitle"],,Other,2021-04-21T17:00:00Z
Social Point  ,Branching use case - for populating part of content into a different project,Branching use case ,["Branch"],,Other,2021-04-21T17:00:00Z
Social Point  ,"Interested in notifications to be able to detect some user actions
",Ability to detect some user actions and notify,["Grid History"],,Question/Request,2021-04-21T17:00:00Z
Social Point  ,Asked about character length / restriction support,Character length / restriction support,["Length limit"],,Feature request,2021-04-21T17:00:00Z
Social Point  ,Asked about determining content that’s ready for the next phase (Statuses of strings managed in Google sheets for that),Determining content that’s ready for the next phase,["Other"],,Question/Request,2021-04-21T17:00:00Z
GungHo Online Entertainment,Interested in Dependencies as they are translating from Japanese to English and then other languages.,Interested in Dependencies,["Dependencies"],,Positive feedback,2021-04-27T17:00:00Z
GungHo Online Entertainment,Interested in Branching,Interested in Branching,["Branch"],,Positive feedback,2021-04-27T17:00:00Z
GungHo Online Entertainment,Asked if the merge back feature can detect every change rather than small changes.,Can merge back feature detect every change,["Merge branch"],,Question,2021-04-27T17:00:00Z
GungHo Online Entertainment,"Asked If it is possible to select multi-language source when pushing to Memsource, we showed how to do it.
",Select multi-language source when pushing to Memsource,"[""Push"",""Memosource""]",,Question,2021-04-27T17:00:00Z
GungHo Online Entertainment,"Asked about the Roll back feature
",Roll back feature,["Rollback"],,Question/Request,2021-04-27T17:00:00Z
Rocksteady (owned by WarnerBros),Interested in the Unreal plugin datatables hookup,Unreal plugin,"[""Integration/plugin"",""Unreal""]",,Feature request,2021-05-03T17:00:00Z
Rocksteady (owned by WarnerBros),Asked about private WB AWS shard of Gridly,Private WEB AWS shard of Gridly,["Other"],,Question,2021-05-03T17:00:00Z
Rocksteady (owned by WarnerBros),Asked about Gridly support formulas,Support formula,["Formula support"],,Question,2021-05-03T17:00:00Z
Ubisoft SH Loc team,"They are happy to see the Master functionality and said its very good.
",Like master functionality,["Branch"],,Positive feedback,2021-05-12T17:00:00Z
Ubisoft SH Loc team,"For dependencies, their team mainly works for English to Chinese or vice versa, but they are happy to see the Boolean option",Like Boolean option,["Boolean"],,Positive feedback,2021-05-12T17:00:00Z
Ubisoft SH Loc team,"When I explain Trigger to show update and changes to reflect on Slack, they understand instantly and they also use Slack.","When I explain Trigger to show update and changes to reflect on Slack, they understand instantly and they also use Slack.",["Trigger"],,Other,2021-05-12T17:00:00Z
Ubisoft SH Loc team,"Asked upload speed in China and other regions, I showed them to open the big files, and the speed is good.",Good upload speed in China,["Speed"],,Positive feedback,2021-05-12T17:00:00Z
Ubisoft SH Loc team,"When I showed the Legal check function, they asked about automatic check of the forbidden words/phrases(contents involves violence and pornography)
",Automatic check of forbidden words,["API"],,Question/Request,2021-05-12T17:00:00Z
Ubisoft SH Loc team,They also suggested it could be used to process invoices in gridly.,They also suggested it could be used to process invoices in gridly.,["Other"],,Other,2021-05-12T17:00:00Z
Kasedo Games,Can we attach screenshots in response to translator questions?,Attach screenshots in comment section,"[""Screenshot"",""Comments""]",,Feature request,2021-05-13T17:00:00Z
Gamester,Currently within their Google Sheet they run validation on the translations (in cells) to ensure that they remove potential Json incompatibility issues. Is that something we can do too? ,Run validation on translations ,["Validation"],,Question/Request,2021-05-19T17:00:00Z
Gamester,Do we have token/validation functions?,Token/validation functions,["Validation"],,Question/Request,2021-05-19T17:00:00Z
Colossi Games,"Mentioned that GSheets are lacking versioning, Gridly's branching can help here, together with friendly API helps a lot with automation.",Like branch and friendly API,"[""Branch"",""API""]",,Positive feedback,2021-05-19T17:00:00Z
Colossi Games,"But what Gridly lacks are smart functions that would satisfy designer needs and workflow: All my recent games used structured data like XML or JSON. The main problem with that is when you need to do bulk operations, like to recalculate costs, prices of all our items, or something like that, you want to apply some formulas, or you just want to add zero to the end of each number. Here's where spreadsheets are better for these operations.",Supporting formulas to satisfy designer needs and workflow,["Formula support"],,Negative feedback,2021-05-19T17:00:00Z
Colossi Games,"When you unwrap some complex structure of your data objects you end up with a very long list of columns 
",A very long list of columns when unwrap some complex structure,["Column"],,Other,2021-05-19T17:00:00Z
Colossi Games,Needs to be able to export a Json file from Gridly.,Ability to export Json file ,["Export/Import formats"],,Feature request,2021-05-19T17:00:00Z
Colossi Games,Unity Plugin very important to them. They use Addressables FYI. ,Unity plugin,"[""Integration/plugin"",""Unity""]",,Feature request,2021-05-19T17:00:00Z
Colossi Games,Do you see yourself as a localization tool only because I thought that Gridly is moving towards a friendly database for game developers or something like that?,Do you see yourself as a localization tool only because I thought that Gridly is moving towards a friendly database for game developers or something like that?,["Other"],,Question,2021-05-19T17:00:00Z
Ubisoft (Montreal) ,Liked Gridly and the MemoQ hookup,Like MemoQ hookup,"[""Integration/plugin"",""MemoQ""]",,Positive feedback,2021-06-02T17:00:00Z
Ubisoft (Montreal) ,To use API and client libraries for programming languages and create custom editors to edit data visually in a user-friendly manner (e.g. a custom editor for an RPG game). ,To use API and client libraries for programming languages and create custom editors to edit data visually in a user-friendly manner,["API"],,Other,2021-06-02T17:00:00Z
Ubisoft (Montreal) ,"Use Gridly as a backend to store and retrieve data, as a hub.",Use Girdly as a hub,["API"],,Other,2021-06-02T17:00:00Z
Ubisoft (Montreal) ,Asked about “private” cloud as security is important to Ubisoft and they prefer to self-host their systems,“private” cloud and prefer self hosting,["Self hosting"],,Question/Request,2021-06-02T17:00:00Z
Amber studio,Interested in LQA and he is impressed by the robot page,Like LQA  and Robot page,"[""LQA"",""Robot page""]",,Positive feedback,2021-06-10T17:00:00Z
Amber studio,Asked if sentiment and VO grids are ready to use or his team needs to set it up by themselves,Sentiment and VO grids are ready to use or needed to be set up by themselves,["Setup"],,Question,2021-06-10T17:00:00Z
WB in California,Liked the version control and the speedy loading of projects,Like version control and and speedy loading of projects,"[""Version control"",""Speed""]",,Positive feedback,2021-06-14T17:00:00Z
 LongTu Games,"Interested in our dependencies and especially the version control feature, as they are not sure if Memsource can solve all their problems.",Like the dependencies and version control feature,["Dependencies"],,Positive feedback,2021-06-15T17:00:00Z
 LongTu Games,Expressed great interest in dependencies in the demo.,Like the dependencies,["Dependencies"],,Positive feedback,2021-06-15T17:00:00Z
 LongTu Games,Robot demo and MTPE demo is also practical concerning their own situation,Robot demo and MTPE demo is also practical concerning their own situation,["Robot page"],,Other,2021-06-15T17:00:00Z
 Star Stable,Main request: CAT tool,Main request: CAT tool,["CAT tool"],,Other,2021-06-15T17:00:00Z
 Star Stable,"Crowdin support? (also asked about our availability for support)
",Crowding support,["Crowding"],,Feature request,2021-06-15T17:00:00Z
Mechanist Games,"Interested in dependencies, and would prefer to use it in their proofreading process. ",Like dependencies,["Dependencies"],,Positive feedback,2021-06-17T17:00:00Z
Mechanist Games,Asked for a spellcheck in gridly,Spellchecking,["LQA"],,Feature request,2021-06-16T17:00:00Z
Mechanist Games,"Ask if Gridly can spot the changes for the long strings either in source languages or target languages?
",Spot the changes for the long string,"[""Dependencies"",""Highlight""]",,Feature request,2021-06-16T17:00:00Z
Mechanist Games,Ask if gridly can summarize the translator daily workload,Summarize translator’s daily workload,["Translation overview"],,Feature request,2021-06-16T17:00:00Z
Mechanist Games,Ask if version control have roll back to a certain point feature ,Ask if version control have roll back to a certain point feature ,"[""Version control"",""Rollback""]",,Question/Request,2021-06-16T17:00:00Z
Nordeus,They would like to remove the need for a CAT tool and work solely with Gridly (as they do with LocDirect).,Want to work solely with Gridly,["Overall"],,Other,2021-06-17T17:00:00Z
Nordeus,Are we able to hook Gridly up with google sheets so that data can be pushed from gsheets into Gridly? (and then back),Hook Gridly up with Google sheets,["Integration/plugin"],,Feature request,2021-06-17T17:00:00Z
Nordeus,Can we send enterprise pricing? ,Enterprise pricing,["Pricing"],,Question,2021-06-17T17:00:00Z
Nordeus,Can we create a way to work with subtitle files (.sbv and .srt)?,Create way to work with subtitle files,["Subtitle"],,Feature request,2021-06-17T17:00:00Z
Nordeus,"If we share a ""Publish view"", then could there be the potential to allow users to comment on that view and push those comments to Gridly?",Push comments to Gridly,"[""Comments"",""Push""]",,Question/Request,2021-06-17T17:00:00Z
ME2ZEN,"They would like to trial the MT functionality. Can we share this specific demo Grid with them and set them as a translator? That way they can&#39;t add a thousand strings and MT them? If we don&#39;t want to share this Grid, is there the potential to create an eval Grid with this MT functionality? That way we could share if needed with clients evaluating Gridly?
",Trial MT functionality and set up,"[""Machine translation"",""Setup""]",,Other,2021-06-20T17:00:00Z
Magic Tavern,Interested in in-game testing and localization feature,Interested in in-game testing and localization feature,"[""Localization"",""In-game testing""]",,Positive feedback,2021-06-21T17:00:00Z
Magic Tavern,Likes all localization functions but he wants to have character limits feature ,Character limits feature ,["Length limit"],,Feature request,2021-06-21T17:00:00Z
Appxplore/Icandy,Thinks path tag and version control features can be used in their games widely,"Path tag, version control","[""Version control"",""Path tag""]",,Positive feedback,2021-07-04T17:00:00Z
FUGO,They like that they can pin point what to extract from the files. ,Like that they can pin point what to extract from the files. ,["Export/Import option"],,Positive feedback,2021-07-05T17:00:00Z
FUGO,They like MemoQ for that due to the segmentation part and filtering.,They like MemoQ for that due to the segmentation part and filtering.,"[""Filter"",""MemoQ"",""Segmentation""]",,Other,2021-07-05T17:00:00Z
FUGO,They really liked the dependencies.,Like dependencies,["Dependencies"],,Positive feedback,2021-07-05T17:00:00Z
FUGO,"How does Gridly handle the extraction of data from the source file?
",How Gridly handle extraction of data from source file,["Other"],,Question,2021-07-05T17:00:00Z
FUGO,Is there a place where Gridly could sit between MemoQ and our process? ,Is there a place where Gridly could sit between MemoQ and our process? ,["MemoQ"],,Question,2021-07-05T17:00:00Z
FUGO,Can we add any rules/preferences to the push part of the process?,Add any rules/preferences to the push part of the process?,["Push"],,Question/Request,2021-07-05T17:00:00Z
FUGO,Does Gridly accept Xliff files?,Export format (Xliff),["Export/Import formats"],,Question/Request,2021-07-05T17:00:00Z
FUGO,"Can Gridly be used to add strings, authoring tool for the devs?
","Add strings, authoring tool for the devs","[""Other"",""Strings""]",,Question/Request,2021-07-05T17:00:00Z
FUGO,"Concerned about aspects with MemoQ – TM, segmentation, tags (they can specify these strings of text have tags so that translators don’t mess with them). Can we do this in Gridly at the push stage?
","Specify TM, segmentation, tags strings at push stage","[""Push"",""Translation memory"",""Segmentation""]",,Question/Request,2021-07-05T17:00:00Z
Hazelight,"They talked about the template, and that they may have 20+ grids with dialogues and that it would be a lot of work to change the structure if they needed to add a column or delete one (in each one of the 20 grids)",A lot of work to change template structure with large number of grids,["Template"],,Negative feedback,2021-07-05T17:00:00Z
Hazelight,Ideally they’d want to enter source into MemoQ to segment it and use Gridly to mark what’s ready for translation.,Enter source into MemoQ to segment it and use Gridly to mark what’s ready for translation.,["MemoQ"],,Other,2021-07-05T17:00:00Z
Hazelight,Will we support Google single sign on?,Google single sign on,["Log in/SSO"],,Feature request,2021-07-05T17:00:00Z
Lightbulb Crew Demo,They want to be able to select multiple cells in same way you can hold down Command(Mac) in GSheet and click on scattered cells to select multiple cells instead of one “area”,Select many scattered areas ,["Cell"],,Feature request,2021-08-24T17:00:00Z
Lightbulb Crew Demo,Add option to define a default value on columns that new strings will get (true or false for boolean and which option in a selector drop down),Add option to define a default value on columns,["Column"],,Feature request,2021-08-24T17:00:00Z
Lightbulb Crew Demo,"When using folders, so that you selected an active folder path, when you add a new string they want this new string to be assigned the current selected folder path by default
",New string assigned the selected folder path by default,["Path tag"],,Feature request,2021-08-24T17:00:00Z
Lightbulb Crew Demo,Via the API be able to list the options in Single or Multi selections,List the options in Single or Multi selections via API,["API"],,Question/Request,2021-08-24T17:00:00Z
Digital Hearts Japan ,Need the trigger to hook with Jira,Trigger to hook with Jira,["Trigger"],,Feature request,2021-08-25T17:00:00Z
Digital Hearts Japan ,How do translators push content between Gridly and memoQ,Push content between Gridly and MemoQ,["Push"],,Question,2021-08-25T17:00:00Z
Digital Hearts Japan ,How do path tags and pictures look like in memoQ?,How path tags and pictures like in MemoQ,"[""Path tag"",""MemoQ""]",,Question,2021-08-25T17:00:00Z
Digital Hearts Japan ,When will do support lexi QA and Grammarly?,Lexi QA and Grammarly support,["LQA"],,Feature request,2021-08-25T17:00:00Z
Digital Hearts Japan ,Will we have desktop available? Digital Hearts said sometimes their internet is not stable and they may need to deliver urgent projects,Desktop app,["App/Browser"],,Feature request,2021-08-25T17:00:00Z
Playrix #2 Updates,were excited by the MemoQ connection because it is most relevant for them and will help facilitate the localization process.,MemoQ Add on,["MemoQ"],,Positive feedback,2021-08-25T17:00:00Z
TimeZynk,They asked about plural forms,Plural forms,["Plural form"],,Question/Request,2021-09-23T09:00:00Z
WB loc team follow up,"They want to be able to set strings as “non-translateable”
",set strings as “non-translateable”,"[""Setup"",""Strings""]",,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"Easy navigation between companies, similar to Slack. A loc manager in WB will work with multiple developers each one in their own “Company” so need to be able to easily jump between them
",Easy navigation between companies,["Navigation"],,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"Want to see indicator like an elipses when a text is not fully shown in a cell due to multiline. Same as in Airtable
",Want to see indicator like an elipses when a text is not fully shown in a cell,["Cell"],,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,Self hosting would be a requirement,Self hosting,["Self hosting"],,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"OKTA or LDAP user integration would be great
",OKTA or LDAP user integration,["Integration/plugin"],,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"Variables/tokens validation check, both batch check that loc manager can trigger as well as doing validation when typing in Gridly
","Variables/tokens validation check, both batch check",["Validation"],,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"Did not seem interested in LexiQA as they are going to do language checks in MemoQ
",Did not seem interested in LexiQA,"[""LQA"",""MemoQ""]",,Neutral feedbacks,2021-09-23T09:30:00Z
WB loc team follow up,"Want to be able to search text in source and show translations for that text whilst typing in translations. There’s different scopes this could be done, either just search current grid or search TM
",Search text in source and show translations for that text whilst typing in translations,["Search"],,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"Be able to lock/unlock target language for translations based on exports
",Lock/unlock target language for translations based on exports,"[""Export/Import option"",""Source -Target language""]",,Feature request,2021-09-23T09:30:00Z
WB loc team follow up,"In Voice over templates having addresse column (who is the person speaking to) is super important so we should have that if we make a template
",Having address column (who is the person speaking to),["Template"],,Feature request,2021-09-23T09:30:00Z
